,dataset,model,accuracy,fscore,time
0,ArrowHead,lddmm,0.59375,0.5916305916305916,89.75225567817688
1,BME,lddmm,0.2857142857142857,0.2777067348678602,66.0106303691864
2,ECG200,lddmm,0.6,0.4886363636363636,74.10319995880127
3,FacesUCR,lddmm,0.1331360946745562,0.0277144027144027,765.1130249500275
4,GunPoint,lddmm,0.7,0.699666295884316,73.20187497138977
5,PhalangesOutlinesCorrect,lddmm,0.6390977443609023,0.3899082568807339,1239.6896755695343
6,Trace,lddmm,0.4666666666666667,0.4561965811965812,84.86610722541809
7,Cricket,lddmm,0.4642857142857143,0.4273809523809523,156.49600410461426
8,ERing,lddmm,0.5555555555555556,0.5376133126133126,104.26235389709473
9,Handwriting,lddmm,0.06,0.0576465897536131,354.4214310646057
10,Libras,lddmm,0.0181818181818181,0.0148148148148148,120.1383490562439
11,NATOPS,lddmm,0.5454545454545454,0.5186272141706924,123.8320016860962
12,RacketSports,lddmm,0.2826086956521739,0.1101694915254237,92.51079320907591
13,UWaveGestureLibrary,lddmm,0.6666666666666666,0.656313117352204,185.8866891860962
14,ArticularyWordRecognition,lddmm,0.7701149425287356,0.761090909090909,203.5890130996704
15,ArrowHead,ts-lddmm,0.625,0.6262626262626262,86.55575132369995
16,BME,ts-lddmm,0.6428571428571429,0.6333333333333333,78.19625663757324
17,ECG200,ts-lddmm,0.8333333333333334,0.8168498168498168,89.84318423271179
18,FacesUCR,ts-lddmm,0.1893491124260355,0.1021545758224411,1516.2593936920166
19,GunPoint,ts-lddmm,0.5666666666666667,0.5542857142857143,93.63685035705566
20,PhalangesOutlinesCorrect,ts-lddmm,0.6390977443609023,0.3899082568807339,936.4706671237946
21,Trace,ts-lddmm,0.7666666666666667,0.757020757020757,77.30807328224182
22,Cricket,ts-lddmm,0.8214285714285714,0.8047619047619047,241.45803570747373
23,ERing,ts-lddmm,0.5555555555555556,0.5713118580765639,155.61034274101257
24,Handwriting,ts-lddmm,0.0266666666666666,0.0249211572740984,559.4154708385468
25,Libras,ts-lddmm,0.2363636363636363,0.2410349998585292,161.5236780643463
26,NATOPS,ts-lddmm,0.5636363636363636,0.5387926337583088,188.7339427471161
27,RacketSports,ts-lddmm,0.2826086956521739,0.1101694915254237,131.90049600601196
28,UWaveGestureLibrary,ts-lddmm,0.7727272727272727,0.7650875042999655,293.07777428627014
29,ArticularyWordRecognition,ts-lddmm,0.6551724137931034,0.6442222222222221,325.6140944957733
