,dataset,model,accuracy,fscore,time
0,ArrowHead,lddmm,0.84375,0.8400673400673401,222.53365635871887
1,BME,lddmm,0.8214285714285714,0.8197577276524645,198.16134929656985
2,ECG200,lddmm,0.8333333333333334,0.8074454428754814,209.0521011352539
3,FacesUCR,lddmm,0.7218934911242604,0.6928106838478036,1466.0341002941132
4,GunPoint,lddmm,0.8333333333333334,0.8331479421579533,140.98030042648315
5,PhalangesOutlinesCorrect,lddmm,0.6641604010025063,0.5337809557028252,2664.5436730384827
6,Trace,lddmm,0.5,0.4631016042780748,254.7626702785492
7,Cricket,lddmm,0.7857142857142857,0.7700396825396826,5588.731756448746
8,ERing,lddmm,0.9555555555555556,0.9547511312217196,182.9421684741974
9,Handwriting,lddmm,0.2533333333333333,0.2245068594050494,1220.2484276294708
10,Libras,lddmm,0.5818181818181818,0.5555170755170754,187.02559232711792
11,NATOPS,lddmm,0.8181818181818182,0.8163054695562435,256.686972618103
12,RacketSports,lddmm,0.8260869565217391,0.826716575922565,138.71626901626587
13,UWaveGestureLibrary,lddmm,0.7272727272727273,0.7234457160057005,852.986631155014
14,ArticularyWordRecognition,lddmm,0.9770114942528736,0.9761269841269842,858.754017829895
15,ArrowHead,ts-lddmm,0.90625,0.906204906204906,213.1806938648224
16,BME,ts-lddmm,1.0,1.0,128.3486487865448
17,ECG200,ts-lddmm,0.8333333333333334,0.7948016415868673,131.8105113506317
18,FacesUCR,ts-lddmm,0.878698224852071,0.8645955019557504,1493.9426591396332
19,GunPoint,ts-lddmm,1.0,1.0,145.70822262763977
20,PhalangesOutlinesCorrect,ts-lddmm,0.6741854636591479,0.5222701149425287,1590.6603782176971
21,Trace,ts-lddmm,1.0,1.0,226.957603931427
22,Cricket,ts-lddmm,0.9285714285714286,0.9269841269841268,4795.2174644470215
23,ERing,ts-lddmm,0.9777777777777776,0.9790849673202616,237.12664246559143
24,Handwriting,ts-lddmm,0.46,0.4385494595901835,1166.5454437732697
25,Libras,ts-lddmm,0.6181818181818182,0.6033092833092834,254.0639820098877
26,NATOPS,ts-lddmm,0.8181818181818182,0.8186274509803922,339.1963949203491
27,RacketSports,ts-lddmm,0.782608695652174,0.7867965367965368,214.4674608707428
28,UWaveGestureLibrary,ts-lddmm,0.803030303030303,0.8078869047619048,947.5198748111724
29,ArticularyWordRecognition,ts-lddmm,1.0,1.0,843.711948633194
