,dataset,accuracy,fscore,time
0,ArrowHead,0.375,0.1818181818181818,53.3581748008728
1,BME,0.32142857142857145,0.16216216216216217,22.432414531707764
2,ECG200,0.6666666666666666,0.4,18.50564432144165
3,FacesUCR,0.23076923076923078,0.07678934256886302,150.80669784545898
4,GunPoint,0.9333333333333333,0.9330357142857143,29.642213106155396
5,PhalangesOutlinesCorrect,0.6390977443609023,0.38990825688073394,99.96589827537537
6,Trace,0.6333333333333333,0.554367201426025,55.29714512825012
