,dataset,model,accuracy,fscore,time
0,ArrowHead,lddmm,0.75,0.7449494949494949,215.85747909545896
1,BME,lddmm,0.9285714285714286,0.9296296296296296,90.65345883369446
2,ECG200,lddmm,0.7666666666666667,0.6563011456628478,96.40066766738892
3,FacesUCR,lddmm,0.6301775147928994,0.5967608877739293,1053.6721606254578
4,GunPoint,lddmm,0.7,0.699666295884316,107.89292550086977
5,PhalangesOutlinesCorrect,lddmm,0.6466165413533834,0.4881683452059281,1101.6518149375916
6,Trace,lddmm,0.5333333333333333,0.445211038961039,140.51248598098755
7,Cricket,lddmm,0.7857142857142857,0.7972222222222222,2334.686921596527
8,ERing,lddmm,0.9111111111111112,0.912097787833082,139.47336387634277
9,Handwriting,lddmm,0.2533333333333333,0.2350306913059949,538.0594997406006
10,Libras,lddmm,0.6,0.5577922077922077,271.1528072357178
11,NATOPS,lddmm,0.9272727272727272,0.9274509803921568,202.38060784339905
12,RacketSports,lddmm,0.6521739130434783,0.672514619883041,109.5714373588562
13,UWaveGestureLibrary,lddmm,0.7878787878787878,0.7873161764705883,448.10957646369934
14,ArticularyWordRecognition,lddmm,0.9770114942528736,0.9775555555555556,392.665846824646
15,ArrowHead,ts-lddmm,0.8125,0.811111111111111,121.9080491065979
16,BME,ts-lddmm,0.9285714285714286,0.9296296296296296,88.73943185806274
17,ECG200,ts-lddmm,0.7333333333333333,0.6590909090909092,97.09632015228271
18,FacesUCR,ts-lddmm,0.8402366863905325,0.8307390161044478,1018.480984210968
19,GunPoint,ts-lddmm,0.9666666666666668,0.9666295884315907,102.06809115409852
20,PhalangesOutlinesCorrect,ts-lddmm,0.6491228070175439,0.5055587027333239,973.0666880607604
21,Trace,ts-lddmm,0.8333333333333334,0.7953216374269005,120.08159732818604
22,Cricket,ts-lddmm,0.9285714285714286,0.938888888888889,2082.2024223804474
23,ERing,ts-lddmm,0.9777777777777776,0.9790849673202616,199.2338392734528
24,Handwriting,ts-lddmm,0.4533333333333333,0.4477683641145179,680.1782176494598
25,Libras,ts-lddmm,0.5818181818181818,0.5444011544011543,192.10063409805295
26,NATOPS,ts-lddmm,0.9090909090909092,0.9063451467543538,339.5238332748413
27,RacketSports,ts-lddmm,0.8260869565217391,0.8221532091097308,170.7785382270813
28,UWaveGestureLibrary,ts-lddmm,0.8333333333333334,0.8324696545284781,500.5293078422546
29,ArticularyWordRecognition,ts-lddmm,0.9885057471264368,0.9875555555555556,509.8616626262665
