,smothness,t_amp,s_amp,v_e,r_v_e,m_e,r_m_e
0,10,5,5,0.00024414062,2.3683381e-07,9.460236,0.027394947
1,10,5,5,0.00024414062,2.1065097e-07,8.373657,0.010873449
2,10,5,5,0.00012207031,1.1789209e-07,6.428894,0.023230763
3,10,5,5,0.0,0.0,14.420074,0.059031937
4,10,5,5,0.0004272461,4.2375945e-07,2.910202,0.012183797
5,10,5,5,0.00048828125,4.469058e-07,34.272278,0.08084097
6,10,5,5,0.00048828125,4.694341e-07,9.826561,0.11265669
7,10,5,5,0.00036621094,3.5850763e-07,41.85132,0.1384319
8,10,5,5,0.00018310547,1.8075656e-07,6.536743,0.036189456
9,10,5,5,0.00036621094,3.4771074e-07,21.127106,0.11982351
10,10,5,5,0.00036621094,3.5684434e-07,28.707092,0.1420542
11,10,5,5,0.00024414062,2.3862188e-07,14.517029,0.16619003
12,10,5,5,0.00036621094,3.443354e-07,18.37616,0.09363982
13,10,5,5,0.00024414062,2.2895226e-07,36.15738,0.15412632
14,10,5,5,0.00024414062,2.3539332e-07,12.034546,0.041504
15,10,5,5,0.00024414062,2.2026373e-07,22.662933,0.08658316
16,10,5,5,0.00024414062,2.2056183e-07,10.061371,0.046735905
17,10,5,5,0.0007324219,6.5620316e-07,29.002686,0.050610855
18,10,5,5,0.00012207031,1.2075601e-07,7.2292633,0.030815529
19,10,5,5,0.0,0.0,14.862274,0.12519325
20,10,5,5,0.00036621094,3.5586305e-07,23.667969,0.049536902
21,10,5,5,0.0007324219,7.0924335e-07,13.450439,0.020119807
22,10,5,5,0.00024414062,2.260664e-07,27.726715,0.08742554
23,10,5,5,0.00061035156,5.8059044e-07,33.905396,0.050804242
24,10,5,5,0.00024414062,2.2193232e-07,39.767242,0.21762402
25,10,5,5,0.00018310547,1.8005467e-07,15.518066,0.053659733
26,10,5,5,0.00012207031,1.15405626e-07,5.9947586,0.111717746
27,10,5,5,0.00030517578,3.0883254e-07,30.783813,0.05459657
28,10,5,5,0.0005493164,5.573803e-07,17.395508,0.02840767
29,10,5,5,0.00012207031,1.16487634e-07,28.323364,0.072282135
30,10,5,5,0.00036621094,3.552039e-07,9.971695,0.04049637
31,10,5,5,0.00024414062,2.376898e-07,34.99076,0.533012
32,10,5,5,0.0,0.0,33.631588,0.4366311
33,10,5,5,0.00024414062,2.2561085e-07,10.57962,0.113198206
34,10,5,5,0.0,0.0,22.301697,0.2366911
35,10,5,5,0.00048828125,4.497256e-07,11.096619,0.06571693
36,10,5,5,0.00024414062,2.3205502e-07,52.16594,0.19919117
37,10,5,5,0.00036621094,3.5669532e-07,40.3013,0.21095447
38,10,5,5,0.00024414062,2.2603288e-07,7.6477356,0.024178393
39,10,5,5,0.00024414062,2.3848006e-07,10.558998,0.13154647
40,10,5,5,0.00024414062,2.3560354e-07,26.012321,0.43088764
41,10,5,5,0.00036621094,3.4652834e-07,5.011078,0.020555388
42,10,5,5,0.00036621094,3.5215848e-07,15.4157715,0.08725823
43,10,5,5,0.00024414062,2.335918e-07,23.818909,0.083590895
44,10,5,5,0.00012207031,1.10676154e-07,1.1987305,0.0047654244
45,10,5,5,0.00024414062,2.1517009e-07,5.715027,0.015320886
46,10,5,5,0.00024414062,2.3129377e-07,8.382824,0.24784754
47,10,5,5,0.00036621094,3.3843958e-07,11.795242,0.06093123
48,10,5,5,0.00024414062,2.3749962e-07,25.615448,0.38447973
49,10,5,5,0.00036621094,3.3555114e-07,10.479248,0.043666467
50,10,5,10,0.00048828125,4.6430844e-07,8.024315,0.14763096
51,10,5,10,0.0021972656,2.05748e-06,9.039047,0.042723536
52,10,5,10,0.0010986328,1.0389788e-06,39.77528,0.8875952
53,10,5,10,0.00048828125,4.6356968e-07,8.458048,0.29050446
54,10,5,10,0.0015258789,1.4922211e-06,40.373573,0.3878343
55,10,5,10,0.0012207031,1.1933346e-06,13.1163025,0.06042865
56,10,5,10,0.001953125,1.8657038e-06,33.945587,0.15427527
57,10,5,10,0.0024414062,2.2425195e-06,38.26413,0.1394424
58,10,5,10,0.0008544922,8.24384e-07,3.1015778,0.04339426
59,10,5,10,0.0020751953,1.9682689e-06,26.24295,0.42960992
60,10,5,10,0.0017700195,1.7377478e-06,14.254395,0.021696137
61,10,5,10,0.0015869141,1.5060193e-06,52.03134,0.14375529
62,10,5,10,0.00048828125,4.4948698e-07,26.885704,0.22556625
63,10,5,10,0.0017089844,1.5731273e-06,19.608765,0.15601894
64,10,5,10,0.0015869141,1.5221691e-06,13.807449,0.08529836
65,10,5,10,0.0015258789,1.5463838e-06,11.644012,0.027625713
66,10,5,10,0.0015869141,1.5067831e-06,32.847214,0.23747456
67,10,5,10,0.0007324219,6.6077575e-07,45.27887,0.3177944
68,10,5,10,0.0009765625,9.764462e-07,29.348434,0.13191885
69,10,5,10,0.0015869141,1.4814694e-06,19.142883,0.054785088
70,10,5,10,0.0012207031,1.1110981e-06,6.976776,0.025855757
71,10,5,10,0.00048828125,4.633698e-07,16.857363,0.6041928
72,10,5,10,0.0007324219,6.8619033e-07,15.120514,0.11209838
73,10,5,10,0.00048828125,4.5777375e-07,32.8693,0.66554326
74,10,5,10,0.001953125,1.8829843e-06,27.624054,0.060058966
75,10,5,10,0.0043945312,4.2436345e-06,20.662628,0.06272507
