,v_e,r_v_e,m_e,r_m_e,t_sigma,s_sigma
5,424.07275,0.059175137,4358.1934,8.329757,1,10.0
6,131.37134,0.022694312,2715.0503,6.1299734,1,10.0
7,105.091675,0.018911483,1640.0767,3.6542745,1,10.0
8,296.93817,0.05807234,3817.9355,7.9448304,1,10.0
9,159.85962,0.02458585,5857.798,11.390372,1,10.0
10,182.6648,0.034294005,2690.5488,5.6798506,1,10.0
11,60.338318,0.01093368,1813.8114,3.5022037,1,10.0
12,236.15674,0.035853993,6564.1333,13.187597,1,10.0
13,219.31677,0.033322003,4726.8022,9.387334,1,10.0
14,273.088,0.046188958,5757.1797,11.511038,1,10.0
15,61.59607,0.008267732,4332.5938,8.257119,1,10.0
16,85.79578,0.011337272,4490.608,8.333027,1,10.0
17,425.90063,0.058800165,5476.7256,11.985531,1,10.0
18,337.54932,0.06251715,4420.0366,8.661545,1,10.0
19,42.86206,0.0060155992,3168.9514,6.50536,1,10.0
20,155.3717,0.026710702,3225.3652,6.3753057,1,10.0
21,167.08752,0.027212234,6466.284,13.188223,1,10.0
22,53.4469,0.007860607,6667.7197,15.465774,1,10.0
23,376.7318,0.059718385,6794.105,12.576296,1,10.0
24,43.147217,0.0061726444,2681.868,5.3779783,1,10.0
25,117.69348,0.021600528,1543.3975,3.3459523,1,10.0
26,93.97876,0.014783687,3818.674,7.1718206,1,10.0
27,243.30035,0.04710671,4009.2656,7.5149317,1,10.0
28,353.36127,0.071261175,5816.405,11.473965,1,10.0
29,116.562256,0.019020678,4650.4644,8.813515,1,10.0
30,5.1451814e+16,9060374000000.0,3089.2698,6.376559,1,10.0
31,71.473816,0.012796066,1187.9683,2.423481,1,10.0
32,0.3861084,6.7169014e-05,762.962,1.4246923,1,10.0
33,60.59839,0.008898025,3503.0269,7.447938,1,10.0
34,1.6450195,0.0002951719,1119.9758,2.3316731,1,10.0
35,31.418945,0.00447513,1841.5378,3.9719512,1,10.0
36,136.97607,0.022086976,3694.2065,7.148896,1,10.0
37,214.5299,0.0378344,3901.4258,8.447623,1,10.0
38,14.687744,0.0021095227,4571.216,9.480832,1,10.0
39,37.394714,0.007050166,1586.0228,2.983381,1,10.0
40,0.81359863,0.00014010325,939.60205,1.8943093,1,10.0
41,868989860000000.0,136409270000.0,4473.632,9.220644,1,10.0
42,198.92664,0.033367194,3425.128,7.174798,1,10.0
43,94.42468,0.015186468,4011.9492,7.783107,1,10.0
44,250.49707,0.034545116,4079.2666,8.540661,1,10.0
45,86.40881,0.011038224,6393.9004,13.5176735,1,10.0
46,0.31384277,5.0661405e-05,752.5846,1.4179686,1,10.0
47,5.1137695,0.0007657962,1191.8965,2.6656272,1,10.0
48,49.44763,0.008913906,1729.4877,3.3417773,1,10.0
49,31.60913,0.0045724753,2078.6018,4.138247,1,10.0
0,326.76367,0.05394513,9420.086,18.906763,1,100.0
1,465.73535,0.058120094,6304.708,13.043944,1,100.0
2,244.39734,0.038847573,8325.903,16.259867,1,100.0
3,125.36859,0.022767015,1997.1097,4.295075,1,100.0
4,1378.8536,0.26577848,1488.7389,3.054377,1,100.0
5,387.0078,0.054003093,4301.9224,8.222073,1,100.0
6,130.5575,0.022553721,2725.2815,6.1528735,1,100.0
7,105.61359,0.019005401,1636.559,3.646358,1,100.0
8,293.8324,0.057464942,3904.1008,8.12391,1,100.0
9,160.521,0.024687568,5844.5967,11.364174,1,100.0
10,179.08704,0.033622306,2723.3367,5.7488427,1,100.0
11,60.494934,0.010962061,1804.7064,3.4844737,1,100.0
12,240.44556,0.036505133,6519.6914,13.097868,1,100.0
13,219.07703,0.033285577,4733.8716,9.401158,1,100.0
14,266.12476,0.045011222,5828.689,11.6535,1,100.0
15,61.53894,0.008260065,4333.76,8.258966,1,100.0
16,85.796265,0.011337336,4490.6943,8.332754,1,100.0
17,507.8015,0.07010746,4803.2314,10.511477,1,100.0
18,322.5276,0.059734996,4877.527,9.557601,1,100.0
19,42.865112,0.0060160276,3168.9675,6.50518,1,100.0
20,160.72571,0.027631136,3213.7375,6.352105,1,100.0
21,164.81372,0.026841918,6474.5566,13.204849,1,100.0
22,53.546753,0.007875292,6664.169,15.457268,1,100.0
23,371.65894,0.058914248,6832.2397,12.646511,1,100.0
24,43.14746,0.0061726794,2681.9448,5.3779974,1,100.0
25,119.38373,0.021910742,1527.3116,3.311012,1,100.0
26,104.92297,0.016505308,3813.3494,7.1616683,1,100.0
27,9835.049,1.9042175,2658.7158,4.983292,1,100.0
28,7745.53,1.5620148,2251.8381,4.442145,1,100.0
29,116.82251,0.019063147,4646.48,8.805825,1,100.0
30,319.26917,0.056221496,6208.6772,12.815022,1,100.0
31,71.40271,0.0127833355,1193.3303,2.4343877,1,100.0
32,0.38708496,6.73389e-05,762.9296,1.424578,1,100.0
33,60.607544,0.008899369,3502.851,7.4473267,1,100.0
34,1.6340942,0.00029321152,1120.7993,2.3333027,1,100.0
35,31.417847,0.0044749733,1841.6012,3.9719703,1,100.0
36,137.2489,0.022130968,3688.3264,7.1374474,1,100.0
37,209.1759,0.036890168,3954.0898,8.56155,1,100.0
38,13.428345,0.0019286417,4579.236,9.497168,1,100.0
39,37.299805,0.0070322724,1585.1011,2.9815688,1,100.0
40,0.81292725,0.00013998763,939.6405,1.8943003,1,100.0
41,301.00647,0.047250345,7134.0,14.703455,1,100.0
42,197.85583,0.03318758,3428.2769,7.181273,1,100.0
43,94.95703,0.0152720865,3992.4165,7.7449913,1,100.0
44,248.67798,0.034294255,4286.3076,8.973896,1,100.0
45,85.7406,0.010952864,6429.996,13.593536,1,100.0
46,0.31384277,5.0661405e-05,752.58044,1.4179115,1,100.0
47,5.1153564,0.0007660339,1191.9404,2.6656923,1,100.0
48,49.083008,0.008848175,1729.8969,3.3423984,1,100.0
49,31.61267,0.0045729876,2078.66,4.1382504,1,100.0
0,202.50854,0.033431962,8998.149,6.3000097,5,0.1
1,14.251221,0.0017784399,7230.1875,4.8821115,5,0.1
2,199.20093,0.03166349,5943.5723,4.278136,5,0.1
3,2367.9368,0.4300188,2701.1768,2.0160036,5,0.1
4,92.556885,0.017840639,2889.126,2.1469328,5,0.1
5,8.402588,0.0011724976,7275.4893,4.9272437,5,0.1
6,4757.829,0.8219118,3110.2646,2.540774,5,0.1
7,65.99164,0.0118753435,3933.9956,2.9007168,5,0.1
8,169.77484,0.033202946,2790.4788,2.1919658,5,0.1
9,12.369873,0.0019024431,6030.7886,4.5606594,5,0.1
10,128.17297,0.024063557,2200.7007,1.6729563,5,0.1
11,125.331726,0.022710893,2180.9011,1.7942246,5,0.1
12,4139.326,0.6284444,6621.6543,4.9033394,5,0.1
13,22.240845,0.0033791738,7741.158,5.5844083,5,0.1
14,131.4862,0.022239024,4219.332,3.1700106,5,0.1
15,1.4488525,0.00019447223,5240.835,3.828931,5,0.1
16,1.5301514,0.00020219809,5021.8086,3.6219115,5,0.1
17,47.284546,0.00652814,9898.179,6.859096,5,0.1
18,221.90112,0.041098073,3587.649,2.604563,5,0.1
19,1.8092041,0.00025391797,2479.3613,1.8877921,5,0.1
20,2607.7603,0.4483127,4323.3154,2.9525383,5,0.1
21,159.4751,0.025972458,8355.444,5.629413,5,0.1
22,8.857544,0.0013027072,5994.1978,4.373994,5,0.1
23,102.10254,0.016184986,8630.477,5.6385336,5,0.1
24,1.1081543,0.00015853264,2020.0002,1.4462646,5,0.1
25,53.04004,0.009734548,2111.3027,1.535302,5,0.1
